Type                                  Module                      Label             Process   
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngLoose"   "SIM"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationAngTight"   "SIM"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationLoose"   "SIM"     
edm::ValueMap<bool>                   "muons"                     "muidTMOneStationTight"   "SIM"     
edm::ValueMap<bool>                   "muons"                     "muidTrackerMuonArbitrated"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueCharged03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueCharged04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueChargedAll03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueChargedAll04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGamma03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGamma04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGammaHighThreshold03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueGammaHighThreshold04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutral03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutral04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutralHighThreshold03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValueNeutralHighThreshold04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValuePU03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFMeanDRIsoValuePU04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueCharged03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueCharged04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueChargedAll03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueChargedAll04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGamma03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGamma04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGammaHighThreshold03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueGammaHighThreshold04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutral03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutral04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutralHighThreshold03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValueNeutralHighThreshold04"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValuePU03"   "SIM"     
edm::ValueMap<double>                 "displacedMuons"            "dispMuPFSumDRIsoValuePU04"   "SIM"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged03"   "SIM"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueCharged04"   "SIM"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll03"   "SIM"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueChargedAll04"   "SIM"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma03"   "SIM"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGamma04"   "SIM"     
edm::ValueMap<double>                 "muons"                     "muPFMeanDRIsoValueGammaHighThreshold03"   "SIM"     
